ID,official_name,text_subchapters,illustrations,synonyms,type
ID001,Aca-capac-quilitl,09e,p079_01,acacapac-quilitl; acapac-quilitl,plant
ID003,A-chilli,08j,p065_02,NA,plant
ID004,Acoco-xihuitl,10a,p094_02,a-cocohtli,plant
ID005,Acxoyatl,10b,p095_02,NA,plant
ID006,Ahuatl,08l,p088_03,ahuatl tepiton,plant
ID007,Ahquiztli,09b,p074_02,a-quiztli,plant
ID009,Ahuiyac-xihuitl,08k; 11b,p107_01,hayuiyac xihuitl,plant
ID012,Xiuh-amolli,01e,p011_01,NA,plant
ID014,A-quahuitl,06d; 09g; 09i,NA,NA,plant
ID015,A-toch-ietl,04a,p024_02,NA,plant
ID016,Atoya-xocotl,01d; 10k,NA,NA,plant
ID017,A-xocotl,08l; 09f; 10k,NA,NA,plant
ID018,Ayauh-quahuitl,08f; 08l; 09f; 09q,p091_01,NA,plant
ID019,Ayauhtli,07b,NA,NA,plant
ID021,A-illin,08l,NA,a-ylin,plant
ID022,Ylin,07k; 09j; 09o,NA,NA,plant
ID023,Tepe-ylin,08l,NA,NA,plant
ID024,Quetzal-ylin,07k; 07l; 08l; 09i; 09m; 13a,p069_10,quetzal ylin,plant
ID025,Ayo-nelhuatl,11c,p109_02,ayonelhuatl,plant
ID028,Eca-patli,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a,p007_01; p065_01,xiuh-ecapatli,plant
ID030,Elo-xochitl,08l,p069_08,NA,plant
ID031,Xiuh-elo-quilitl,11c,p108_01,xiuh-eloquilitl,plant
ID032,Elo-zacatl,07l; 11d,NA,NA,plant
ID036,Iztac huitz-quahuitl,11c,p109_01,NA,plant
ID037,Huitz-quahuitl,08l; 09d,p068_07,NA,plant
ID039,Iztac-patli,04b,p025_01,iztac patli,plant
ID041,Teo-iztaquilitl,05f; 07b; 07h; 09b; 09e,p031_01; p051_01,chichiltic teo-iztaquilitl tlalli; teo-iztac-quilitl; teo-iztacuilitl,plant
ID042,Izqui-xochitl,08l; 09d; 09f,p069_09,NA,plant
ID043,Tlaco-izqui-xochitl,05e; 08d; 08l,NA,NA,plant
ID044,Quauh-izqui-xochitl,09c,NA,NA,plant
ID045,Itzquin-patli,07b; 08f; 08j; 08k,NA,itzcuin-patli; itzcuinpatli,plant
ID047,Ocotl,08l,NA,NA,plant
ID048,Oco-xochitl,02b; 10f,NA,NA,plant
ID049,Iztac oco-xochitl,01a; 07l; 08e; 09b; 09e; 09q,p007_02,iztac ocoxochitl; iztac-oco-xochitl; oco-xochitl,plant
ID051,Oyametl,08l,NA,NA,plant
ID052,Yamanqui patli,09d,NA,yamanqui-patli,plant
ID054,Iztauyattl,06i; 08e; 08j; 08k; 09e; 09q; 10i,NA,iztauh-yatl; iztauh-yattl; iztauhyatl; iztauhyauh,plant
ID055,Y-yauhtli,06a,NA,yyauhtli,plant
ID056,Quauh-yyauhtli,08j; 08l; 09l; 09q; 10b; 10j; 11d,p091_02,qauh-yyauhtli; yyauhtli,plant
ID057,Holli,09d,NA,NA,plant
ID058,Yollo-xochitl,08c; 08d; 10e; 10k,p098_02,NA,plant
ID060,Cacalo-xochitl,08l; 09g; 10d,p097_01,NA,plant
ID061,Tlal-cacapol,09m,NA,NA,plant
ID062,Cacaua-xochitl,08j; 10d; 10e,p098_01,cacau-xochitl,plant
ID064,Capolla-xipehualli,09d,NA,capolla-xipe-hualli,plant
ID066,Capul-xihuitl,07k,NA,NA,plant
ID068,Centzon-xochitl,09b; 09f; 11c,p074_01,centzon xochitl,plant
ID069,Centzon-oco-xochitl,09e,NA,NA,plant
ID070,Cihua-patli,11a,p106_02,NA,plant
ID071,Cimatl,09m,NA,NA,plant
ID072,Coanenepilli,08c; 09f,NA,cohuanene-pilli,plant
ID074,Cohua-xochitl,09e,NA,NA,plant
ID076,Cochiz-xihuitl,02g,p020_03,NA,plant
ID077,Huihuitzyo-cochiz-xihuitl,02g,p020_02,NA,plant
ID078,Cococ-xihuitl,07i,NA,cococ-xiuhuitl,plant
ID079,Colo-mecatl,09c,p077_01,NA,plant
ID081,Coltotzin,12a,p113_02,NA,plant
ID082,Copaliyac-xiuhtontli,07i; 07m,NA,NA,plant
ID083,Copal-quahuitl,01d,NA,NA,plant
ID084,Copal-xocotl,10k,NA,NA,plant
ID085,Coyo-xihuitl,08g; 08j; 09e; 09g; 09l,p061_01,coyo-xihuitl tlaztalehualtic,plant
ID087,Cuecuetz-patli,09h,NA,NA,plant
ID088,Chian,08c,NA,NA,plant
ID090,Chichiltic xiuhtontli,11e,NA,NA,plant
ID091,Chicom-acatl,09f,NA,chicom-catl,plant
ID092,Chipauac xihuitl,01b,p008_01,chipauac,plant
ID093,Chiyava xihuitl,10g,p100_01,chiyava-xihuitl,plant
ID094,Huacal-xochitl,02b; 05e; 07b; 08l; 10k,p030_01,huacal xochitl,plant
ID096,Tlal-huaxin,08a,NA,NA,plant
ID097,Huelic-patli,07n,NA,NA,plant
ID099,Huey-nacaztli,08l; 10k,NA,NA,plant
ID100,Huitz-colotli,05h,p033_02,huitz-colo-xochitl; huitz-colohtli,plant
ID101,Huihuitz-mallotic,07j; 08c,NA,huitz-mallotic,plant
ID103,Huitz-quilitl,01d; 09e; 09p,p010_02,NA,plant
ID104,Quauhtla huitz-quilitl,07m; 09a,p073_01,NA,plant
ID105,Huitzihtzil-xochitl,08k; 12a,p066_01,huitzihtzil xochitl; huitzitzil-xochitl,plant
ID106,Macpal-xochitl,08a,NA,NA,plant
ID107,Malinalli,02e; 05h; 11c,p018_01,NA,plant
ID108,Mamaxtla,08c; 08d,NA,NA,plant
ID109,Mamaxtla-nelhuatl,09b,NA,NA,plant
ID110,Matlal-xochitl,02b,p014_02,NA,plant
ID112,Maza-yelli,03a,p022_01,NA,plant
ID113,Meca-xochitl,08l; 10k,p104_01,NA,plant
ID116,Mexix-quilitl,06a,NA,NA,plant
ID117,Michi-huauhtli,12a,NA,NA,plant
ID118,Mizquitl,02b,NA,NA,plant
ID121,Nexehuac,07e,p049_02,NA,plant
ID122,Nocheztli,06c,NA,NA,plant
ID123,Nochtli,11a,NA,NA,plant
ID124,Teo-nochtli,05c,p028_01,NA,plant
ID126,Nonochton azcapanixua,07c,NA,nonochton,plant
ID127,Nopalli,09p,NA,nohpalli,plant
ID128,Papalo-quilitl,06a; 07b; 09q; 10f,NA,NA,plant
ID129,Patlahuac tzitzicaztli,09k,NA,NA,plant
ID130,Piciyetl,07l; 09h,NA,pizietl,plant
ID131,Piltzinte-couh-xochitl,08f; 08j,p062_01; p067_02,piltzin-tecouh-xochitl; pilzinte-couh xochitl chiyaua,plant
ID132,Pozahualiz-xiuhtontli,11d,p110_01,NA,plant
ID133,Quappo-quietl,08f,p062_02,NA,plant
ID134,Quauh-alahuac,11a; 11c,p106_01,NA,plant
ID135,Quauh-yayahual,09g; 10b,p095_01,quauh yayahual,plant
ID139,Quauh-patli,09m,NA,NA,plant
ID140,Quauh-tzitzicaztli,09k,NA,NA,plant
ID141,Quauh-xiyotl,09g,NA,NA,plant
ID143,Quetzal-ahuexotl,11a,p106_03,a-huexotl; quetzal ahuexotl,plant
ID145,Quetzal-atzonyatl,10a,p094_01,quetzal-atzo-yatl; quetzal-hatzonyatl,plant
ID147,Quetzal-misquitl,08f; 09m,NA,quetzal-mizquitl,plant
ID148,Quetzal-xoxouca-patli,08j,NA,quetzal-xoxouhca-patli,plant
ID149,Quetzal-xoxouhca-patli tzotzotlani,08j,NA,tzotzotlani,plant
ID150,Te-amoxtli,01a; 05d; 05e; 08b; 08g; 09f; 09p; 09q; 12b,p007_03; p029_02,NA,plant
ID154,Te-memetla,06c,NA,tememetla,plant
ID155,Teo-amatl,09c; 09d; 09h,NA,NA,plant
ID157,Teo-xihuitl v1,07c,NA,teo-xihuitl,plant
ID160,Tepe-chian,08e; 08f; 08g; 08j; 09b; 09g,NA,NA,plant
ID163,Tequam-maitl,01d,p010_03,NA,plant
ID164,Tequixqui-zacatl,02f,p019_02,NA,plant
ID165,Te-tzapotl,08a; 08b,NA,NA,plant
ID166,Te-tzitzicaztli,09k,NA,NA,plant
ID167,Te-tzitzilin,10a,p094_03,te-tzilin,plant
ID168,Te-xiyotl,06c; 09p,NA,NA,plant
ID170,Tetezhuatic,06e,NA,te-tezhuatic,plant
ID171,Tetzmi-nopalli,05g,NA,NA,plant
ID172,Tetzmitl,02f; 09b; 09e; 09l; 09p,p019_01,NA,plant
ID173,Tetzmi-xochitl,01d; 08d,NA,NA,plant
ID176,Tezon-patli,01d,p010_01,NA,plant
ID178,Tolohua xihuitl,03a; 06f; 06g; 07e; 08a; 08i; 08j; 09n,p049_01,tolohua; tolohua-xihuitl; tolova; tolova xihuitl; tolova-xihuitl,plant
ID179,Tlapatl,03a,NA,NA,plant
ID180,Tol-patlactli,05d; 09e,p029_03,tol-patlctli,plant
ID181,Tomaz-quitl,08l,p069_02,tomazqtl; tomazquitl,plant
ID182,Tonaca-xochitl,10f,p099_02,tonaca xochitl,plant
ID185,Ayauh-tonan-yxiuh,10f,p099_03,ayauh tonan,plant
ID187,Topozan,09g,NA,NA,plant
ID189,Totoloctzin,10f,p099_01,NA,plant
ID190,Tlaca-camotli,07d; 09e,NA,NA,plant
ID192,Tlaco-amatl,07k,NA,tlacomatl,plant
ID193,Tlaco-ecapatli,09l,NA,tlaco-eca-patli,plant
ID194,Tlaco-izqui-xochitl,02b,NA,NA,plant
ID195,Tlaco-popotli,11c,p108_02,tlaco-popotl; tlaco-poptl,plant
ID196,Tlaco-xilo-xochitl,05h; 06b; 09d,NA,NA,plant
ID198,Tlal-ahuehuetl,01b; 09j; 09m; 09n; 12a,NA,NA,plant
ID200,Tlal-ecapatli,08j; 09e; 09q,NA,NA,plant
ID202,Tlal-mizquitl,06e; 12a,NA,NA,plant
ID203,Tlal-patli,09m,NA,NA,plant
ID204,Tlal-quequetzal,06d; 09d,NA,NA,plant
ID205,Tla-nen-popoloua,09l,NA,tlanen-popoloa,plant
ID207,Tlanextia-yxiuh,09h; 10d,NA,tlanexti-yxiuh,plant
ID208,Tlanextia xiuhtontli,05d; 05f; 05i; 07l; 07m; 11a,p029_01,tlanexti; tlanexti-xiuhtontli; tlanextia,plant
ID209,Tlanextia quahuitl,07l; 09b,p069_03,tlanexti-quahuitl; tlanextia-quahuitl,plant
ID211,Tlapal-achiyotl,09d,NA,NA,plant
ID212,Tlapol-cacahuatl,08l,p068_02,tlapal-cacahuatl,plant
ID213,Tlaquilin,03a; 09i; 09m,p022_03,NA,plant
ID214,Tlatlacotic,06c; 07a; 09q; 10a; 10e,NA,NA,plant
ID215,Tlatlanquaye,01b; 03a; 05i; 06a; 07f; 07i; 07l; 08k; 09a; 09f; 09g; 09h; 09i; 09m; 09n; 09q; 12a,p034_01; p073_02,tlatlan-quaye,plant
ID217,Tlatlaolton,07b; 08k,NA,NA,plant
ID220,Tla-yapaloni,01b; 09f; 09n; 12a,p008_02,tlayapaloni,plant
ID221,Tlazol-patli,02g; 09b,p020_01,azcapan-ixua-tlazol-patli,plant
ID222,Tlazol-teo-zacatl,09b; 09f,p080_01,tlazo-teo-zacatl; tlazolco-zacatl,plant
ID224,Tlil-xochitl,10k,p104_02,NA,plant
ID225,Tzacouh-xochitl,10d,NA,NA,plant
ID226,Tzayanal-quilitl,09e,p079_03,NA,plant
ID227,Tzihuac-copalli,09l,NA,NA,plant
ID229,Colo-tzitzicaztli,09k,NA,NA,plant
ID233,Tzitzicton,07b; 08h,p064_02,NA,plant
ID234,Tzon-pachtzin,09b,NA,tzom-pachtin,plant
ID235,Tzonpilihuiz-patli,06h,NA,NA,plant
ID236,Tzon-pilihuiz-xihuitl,04a; 07g,p024_01,tzonpilihuiz xihuitl; tzonpilihuiz-xihuitl,plant
ID237,Tzopelica-cococ,06b,NA,NA,plant
ID240,Xal-tomatl,05e; 09e; 11a,p014_01,NA,plant
ID241,Xa-xocotl,07k; 09e,NA,NA,plant
ID242,Xe-xihuitl,08j,NA,NA,plant
ID243,Xilo-xochitl,09m,NA,NA,plant
ID245,Xiuh-patli,11c,p067_09,xiuh pahtli; xiuhpatli,plant
ID246,Xiuh-tlemaitl,09k,NA,NA,plant
ID247,Xiuhtontli,05h; 07i; 08a; 08h; 09f,NA,xiuh-tontli,plant
ID250,Ohua-xoxocoyolin,07j; 08c; 09h,p017_01,ohua-xocoyolin,plant
ID252,xoxouhca-patli,03a; 06i; 08g,p022_02; p063_01,quetzal-xoxouhqui; xoxouhqui-patli,plant
ID253,xoxouhqui-itzli,07h,NA,NA,plant
ID254,Zaca-matlalin,09b; 09o,p089_01,zaca malalin,plant
ID255,Zozoyatic,10i,p102_01,NA,plant
ID256,Temamatlatzin,05i,NA,NA,plant
ID257,Tonatiuh yxiuh v1,06f; 06g; 08e; 09b; 09e; 09h; 09o; 10d; 13a,NA,tonatiuh yxiuh; tonatiuh-yxiuh,plant
ID258,Tonatiuh yxiuh v2,07h,p051_02,tonatiuh yxiuh pepetlaca; tonatiuh-yxiuh,plant
ID259,Tecpatl,06f,NA,NA,plant
ID260,Tetlahuitl v1,07b,NA,tetlahuitl,plant
ID261,Chichic-xihuitl,07m,NA,NA,plant
ID263,teco-xochiti-xihuitl,09b,NA,NA,plant
ID264,tepaquilti quahuitl,09q,NA,NA,plant
ID265,A-camallo-tetl v1,12a,p113_01,a-camallo-tetl,plant
ID266,tetlahuitl v2,01a; 03a; 07c; 08j; 08k; 08l; 09f; 10e; 11c,NA,tetlahuital; tetlahuitl,stone
ID267,iztac tlalli,01a,NA,NA,stone
ID268,eztetl,01a; 03a; 05d; 08d; 08j; 08k; 08l; 09e; 09f; 10e; 11a; 11b; 11c; 13a,NA,ez-tetl,stone
ID269,te-mamatlatzin,01a,NA,NA,stone
ID270,atzitzicuilotl,01c,NA,NA,animal
ID271,avat-tecolotl,01e,NA,NA,animal
ID272,tlacal-huatzin,01f; 02b; 03a; 07b; 08j; 08k; 08l; 09e; 10e; 13a,NA,tlaca-huatzin; tlacahuatzin; tlacalhuatzin,stone
ID273,chilmolli,02b,NA,NA,other
ID274,molo-tototl,02b,NA,NA,bird
ID276,iztac-quetzaliztli,05c,NA,NA,stone
ID277,chichiltic tapachtli,05c; 05h; 07c,NA,NA,stone
ID278,xochi-ocotzotl,05c; 06a; 08j; 09q; 10k,NA,xochi-oco-tzotl,other
ID279,a-camallo-tetl v2,05e; 07d; 09e; 12a,NA,a-camallo-tetl; a-camollotetl,stone
ID280,teo-xihuitl v2,05h,NA,teo-xihuitl,stone
ID281,xiuh-tomolli,07d; 07h; 09b,NA,NA,stone
ID282,te-xoxoctli,08a,NA,NA,stone
ID283,eca-cohuatl,08f,NA,NA,animal
ID284,huacton,08h,NA,NA,bird
ID285,hoxitl,08i,NA,NA,other
ID286,cuetlachtli,08l,NA,NA,animal
ID287,miztli,08l,NA,NA,animal
ID288,ocotochtli,08l,NA,NA,animal
ID289,tlaco-ocelotl,08l,NA,NA,animal
ID290,quetzal-iztli,08l,NA,NA,stone
ID291,huexo-canauhtli,08l; 09b; 09e; 09f,NA,NA,bird
ID292,huactli,08l; 09b; 10a; 10e,NA,hauctli,bird
ID293,apopotli,08l; 09b,NA,NA,bird
ID294,coyotl,08l,NA,NA,animal
ID295,huitlalotl,09b; 13a,NA,huitla-tototl,bird
